URL,Suara Total,Suara Sah,Suara Tidak Sah,Paslon 01,Paslon 02,Paslon 03
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001047.json,null,null,null,null,null,null
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001048.json,null,null,null,null,null,null
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001049.json,null,null,null,null,null,null
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001050.json,184,182,2,123,46,3
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001051.json,null,null,null,null,null,null
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001052.json,null,null,null,null,null,null
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001053.json,220,215,5,null,null,null
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001054.json,null,null,null,null,null,null
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001055.json,null,null,null,null,null,null
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001056.json,null,null,null,null,null,null
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001057.json,null,null,null,null,null,null
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001058.json,null,null,null,null,null,null
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001059.json,null,null,null,null,null,null
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001060.json,null,null,null,null,null,null
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001061.json,null,null,null,null,null,null
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001062.json,null,null,null,null,null,null
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001063.json,null,null,null,null,null,null
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001064.json,null,null,null,null,null,null
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001065.json,null,null,null,null,null,null
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001066.json,null,null,null,null,null,null
https://sirekap-obj-data.kpu.go.id/pemilu/hhcw/ppwp/31/3174/317403/3174031001/3174031001067.json,205,203,2,null,null,null
