Area code,URL,Suara Total,Suara Sah,Suara Tidak Sah,Paslon 01,Paslon 02,Paslon 03
3174061001086,https://kawalpemilu.org/h/317406100186,null,null,null,null,null,null
3174061001087,https://kawalpemilu.org/h/317406100187,null,null,null,null,null,null
3174061001088,https://kawalpemilu.org/h/317406100188,null,null,null,null,null,null
3174061001089,https://kawalpemilu.org/h/317406100189,null,null,null,null,null,null
3174061001090,https://kawalpemilu.org/h/317406100190,null,null,null,null,null,null
3174061001091,https://kawalpemilu.org/h/317406100191,null,null,null,null,null,null
3174061001092,https://kawalpemilu.org/h/317406100192,null,null,null,null,null,null
3174061001093,https://kawalpemilu.org/h/317406100193,null,null,null,null,null,null
3174061001094,https://kawalpemilu.org/h/317406100194,null,null,null,null,null,null
3174061001095,https://kawalpemilu.org/h/317406100195,null,null,null,null,null,null
3174061001096,https://kawalpemilu.org/h/317406100196,null,null,null,null,null,null
3174061001097,https://kawalpemilu.org/h/317406100197,null,null,null,null,null,null
3174061001098,https://kawalpemilu.org/h/317406100198,null,null,null,null,null,null
3174061001099,https://kawalpemilu.org/h/317406100199,null,null,null,null,null,null
3174061001100,https://kawalpemilu.org/h/3174061001100,null,null,null,null,null,null
3174061001101,https://kawalpemilu.org/h/3174061001101,null,null,null,null,null,null
3174061001102,https://kawalpemilu.org/h/3174061001102,null,null,null,null,null,null
3174061001103,https://kawalpemilu.org/h/3174061001103,null,null,null,null,null,null
3174061001104,https://kawalpemilu.org/h/3174061001104,null,null,null,null,null,null
3174061001105,https://kawalpemilu.org/h/3174061001105,null,null,null,null,null,null
3174061001106,https://kawalpemilu.org/h/3174061001106,null,null,null,null,null,null
3174061001107,https://kawalpemilu.org/h/3174061001107,null,null,null,null,null,null
3174061001108,https://kawalpemilu.org/h/3174061001108,null,null,null,null,null,null
3174061001109,https://kawalpemilu.org/h/3174061001109,null,null,null,null,null,null
3174061001110,https://kawalpemilu.org/h/3174061001110,null,null,null,null,null,null
3174061001111,https://kawalpemilu.org/h/3174061001111,null,null,null,null,null,null
3174061001112,https://kawalpemilu.org/h/3174061001112,null,null,null,null,null,null
3174061001113,https://kawalpemilu.org/h/3174061001113,null,null,null,null,null,null
3174061001114,https://kawalpemilu.org/h/3174061001114,null,null,null,null,null,null
3174061001115,https://kawalpemilu.org/h/3174061001115,null,null,null,null,null,null
3174061001116,https://kawalpemilu.org/h/3174061001116,null,null,null,null,null,null
3174061001117,https://kawalpemilu.org/h/3174061001117,null,null,null,null,null,null
3174061001118,https://kawalpemilu.org/h/3174061001118,null,null,null,null,null,null
3174061001119,https://kawalpemilu.org/h/3174061001119,null,null,null,null,null,null
3174061001120,https://kawalpemilu.org/h/3174061001120,null,null,null,null,null,null
3174061001121,https://kawalpemilu.org/h/3174061001121,null,null,null,null,null,null
3174061001122,https://kawalpemilu.org/h/3174061001122,null,null,null,null,null,null
3174061001123,https://kawalpemilu.org/h/3174061001123,null,null,null,null,null,null
3174061001124,https://kawalpemilu.org/h/3174061001124,null,null,null,null,null,null
3174061001125,https://kawalpemilu.org/h/3174061001125,null,null,null,null,null,null
3174061001126,https://kawalpemilu.org/h/3174061001126,null,null,null,null,null,null
3174061001127,https://kawalpemilu.org/h/3174061001127,null,null,null,null,null,null
3174061001128,https://kawalpemilu.org/h/3174061001128,null,null,null,null,null,null
3174061001129,https://kawalpemilu.org/h/3174061001129,null,null,null,null,null,null
3174061001130,https://kawalpemilu.org/h/3174061001130,null,null,null,null,null,null
3174061001131,https://kawalpemilu.org/h/3174061001131,null,null,null,null,null,null
3174061001132,https://kawalpemilu.org/h/3174061001132,null,null,null,null,null,null
3174061001133,https://kawalpemilu.org/h/3174061001133,null,null,null,null,null,null
3174061001134,https://kawalpemilu.org/h/3174061001134,null,null,null,null,null,null
3174061001135,https://kawalpemilu.org/h/3174061001135,null,null,null,null,null,null
3174061001136,https://kawalpemilu.org/h/3174061001136,null,null,null,null,null,null
3174061001137,https://kawalpemilu.org/h/3174061001137,null,null,null,null,null,null
