Area code,URL,Suara Total,Suara Sah,Suara Tidak Sah,Paslon 01,Paslon 02,Paslon 03
3101011001015,https://kawalpemilu.org/h/310101100115,null,null,null,80,128,36
3101011001016,https://kawalpemilu.org/h/310101100116,null,null,null,80,128,27
3101011001017,https://kawalpemilu.org/h/310101100117,null,null,null,65,82,41
3101011001018,https://kawalpemilu.org/h/310101100118,null,null,null,54,75,29
3173011001001,https://kawalpemilu.org/h/31730110011,null,null,null,48,106,64
3173011001002,https://kawalpemilu.org/h/31730110012,null,null,null,76,110,52
3173011001003,https://kawalpemilu.org/h/31730110013,null,null,null,143,89,32
3173011001004,https://kawalpemilu.org/h/31730110014,null,null,null,114,93,33
3173011001005,https://kawalpemilu.org/h/31730110015,null,null,null,114,68,48
3173011001006,https://kawalpemilu.org/h/31730110016,null,null,null,95,90,47
3173011001007,https://kawalpemilu.org/h/31730110017,null,null,null,84,82,47
3173011001008,https://kawalpemilu.org/h/31730110018,null,null,null,109,110,22
3173011001009,https://kawalpemilu.org/h/31730110019,null,null,null,60,69,51
3173011001010,https://kawalpemilu.org/h/317301100110,null,null,null,null,null,null
3173011001011,https://kawalpemilu.org/h/317301100111,null,null,null,66,110,45
3173011001012,https://kawalpemilu.org/h/317301100112,null,null,null,7,100,90
3173011001013,https://kawalpemilu.org/h/317301100113,null,null,null,9,66,90
3173011001014,https://kawalpemilu.org/h/317301100114,null,null,null,88,87,31
3173011001015,https://kawalpemilu.org/h/317301100115,null,null,null,66,107,41
3173011001016,https://kawalpemilu.org/h/317301100116,null,null,null,63,103,53
3173011001017,https://kawalpemilu.org/h/317301100117,null,null,null,77,85,41
3173011001018,https://kawalpemilu.org/h/317301100118,null,null,null,95,69,80
3173011001019,https://kawalpemilu.org/h/317301100119,null,null,null,87,104,43
3173011001020,https://kawalpemilu.org/h/317301100120,null,null,null,85,84,51
3173011001021,https://kawalpemilu.org/h/317301100121,null,null,null,117,94,22
3173011001022,https://kawalpemilu.org/h/317301100122,null,null,null,76,89,34
3173011001023,https://kawalpemilu.org/h/317301100123,null,null,null,null,null,null
3173011001024,https://kawalpemilu.org/h/317301100124,null,null,null,105,87,34
3173011001025,https://kawalpemilu.org/h/317301100125,null,null,null,75,83,46
3173011001026,https://kawalpemilu.org/h/317301100126,null,null,null,76,107,37
3173011001027,https://kawalpemilu.org/h/317301100127,null,null,null,24,81,20
3173011001028,https://kawalpemilu.org/h/317301100128,null,null,null,null,null,null
3173011001029,https://kawalpemilu.org/h/317301100129,null,null,null,null,null,null
3173011001030,https://kawalpemilu.org/h/317301100130,null,null,null,56,93,26
3173011001031,https://kawalpemilu.org/h/317301100131,null,null,null,null,null,null
3173011001032,https://kawalpemilu.org/h/317301100132,null,null,null,128,60,33
3173011001033,https://kawalpemilu.org/h/317301100133,null,null,null,null,null,null
3173011001034,https://kawalpemilu.org/h/317301100134,null,null,null,null,null,null
3173011001035,https://kawalpemilu.org/h/317301100135,null,null,null,null,null,null
3173011001036,https://kawalpemilu.org/h/317301100136,null,null,null,66,90,44
3173011001037,https://kawalpemilu.org/h/317301100137,null,null,null,null,null,null
3173011001038,https://kawalpemilu.org/h/317301100138,null,null,null,null,null,null
3173011001039,https://kawalpemilu.org/h/317301100139,null,null,null,null,null,null
3173011001040,https://kawalpemilu.org/h/317301100140,null,null,null,null,null,null
3173011001041,https://kawalpemilu.org/h/317301100141,null,null,null,95,81,55
3173011001042,https://kawalpemilu.org/h/317301100142,null,null,null,97,92,32
3173011001043,https://kawalpemilu.org/h/317301100143,null,null,null,null,null,null
3173011001044,https://kawalpemilu.org/h/317301100144,null,null,null,95,91,55
3173011001045,https://kawalpemilu.org/h/317301100145,null,null,null,null,null,null
3173011001046,https://kawalpemilu.org/h/317301100146,null,null,null,null,null,null
3173011001047,https://kawalpemilu.org/h/317301100147,null,null,null,109,88,39
3173011001048,https://kawalpemilu.org/h/317301100148,null,null,null,null,null,null
3173011001049,https://kawalpemilu.org/h/317301100149,null,null,null,null,null,null
3173011001050,https://kawalpemilu.org/h/317301100150,null,null,null,null,null,null
3173011001051,https://kawalpemilu.org/h/317301100151,null,null,null,139,75,19
